rank,job,dept,why,future,dream,obstacle,funny,Timestamp
1,Senior researcher (>5 years since PhD),Limnology program,no alternative,far away,Im living it,Myself,0,01/09/2017 07:39:16
2,Senior researcher (>5 years since PhD),Evolutionary Biology program,Love,Here,Completly different,Myself,1,01/09/2017 09:02:32
3,Senior researcher (>5 years since PhD),Limnology program,no alternative,Here,to old,Myself,0,01/09/2017 09:03:04
4,PhD student,Plant Ecology and Evolution program,Curious,,,,,01/09/2017 09:04:05
5,Senior researcher (>5 years since PhD),Animal Ecology program,Love,in Academia,A stable reserach position,Nothing,0,01/09/2017 09:07:21
6,Senior researcher (>5 years since PhD),Animal Ecology program,,,,,,01/09/2017 09:07:46
7,Junior researcher (<5 years since PhD),Evolutionary Biology program,,,,,,01/09/2017 09:12:58
8,Senior researcher (>5 years since PhD),Limnology program,Fun,in Academia,Im living it,Funding,0,01/09/2017 09:14:34
9,Junior researcher (<5 years since PhD),Evolutionary Biology program,Curious,in Academia or far away,Completly different,Myself,0,01/09/2017 09:19:53
10,Senior researcher (>5 years since PhD),Plant Ecology and Evolution program,no alternative,Here,to old,Myself,0,01/09/2017 09:20:31
11,Senior researcher (>5 years since PhD),Evolutionary Biology program,Fun,in Academia,Completly different,Myself,1,01/09/2017 09:29:00
12,Technician/administrator,Administration,,Here,Completly different,Myself,1,01/09/2017 09:30:50
13,Senior researcher (>5 years since PhD),Evolutionary Biology program,Curious,No idea.,A stable reserach position,Funding,0,01/09/2017 09:46:04
14,Technician/administrator,Evolutionary Biology program,Love,in Academia,An academic career,Changing career,0,01/09/2017 09:50:11
15,Senior researcher (>5 years since PhD),Limnology program,Love,Here,,,,01/09/2017 09:54:22
16,Senior researcher (>5 years since PhD),Plant Ecology and Evolution program,Make world better,Here,Im living it,Funding,0,01/09/2017 10:01:54
17,Junior researcher (<5 years since PhD),Limnology program,,in Academia,,Lack of position,,01/09/2017 11:19:27
18,Senior researcher (>5 years since PhD),Animal Ecology program,Curious,in Academia or far away,Im living it,Time,0,01/09/2017 11:24:34
19,Technician/administrator,Limnology program,,,,Myself,,01/09/2017 11:27:32
20,PhD student,Evolutionary Biology program,Fun,in Academia,,,,01/09/2017 11:34:21
21,PhD student,Animal Ecology program,Curious,far away,Completly different,Myself,1,01/09/2017 11:44:30
22,Senior researcher (>5 years since PhD),Animal Ecology program,Fun,Here,Im living it,Funding,0,01/09/2017 11:55:02
23,Junior researcher (<5 years since PhD),Limnology program,Curious,Reserach outside,A stable reserach position,Work-Life,0,01/09/2017 11:59:26
24,PhD student,Evolutionary Biology program,Fun,No idea.,,,,01/09/2017 12:15:51
25,Junior researcher (<5 years since PhD),Evolutionary Biology program,Curious,,,,,01/09/2017 12:34:25
26,Senior researcher (>5 years since PhD),Animal Ecology program,Fun,Here,,Funding,,01/09/2017 12:48:50
27,Undergraduate/master student,Evolutionary Biology program,Curious,in Academia,science and socitey,Competition,0,01/09/2017 13:02:33
28,PhD student,Limnology program,Curious,Reserach outside,science and socitey,Practical aspects,0,01/09/2017 13:18:34
29,PhD student,Limnology program,,,,,,01/09/2017 13:44:38
30,Technician/administrator,Administration,,,,,,01/09/2017 14:37:13
31,PhD student,Evolutionary Biology program,Make world better,Reserach outside,A stable reserach position,,0,01/09/2017 15:20:58
32,Senior researcher (>5 years since PhD),Animal Ecology program,Love,in Academia,An academic career,Lack of position,0,01/09/2017 17:48:19
33,Junior researcher (<5 years since PhD),Animal Ecology program,Curious,in Academia,No idea,Lack of position,0,01/09/2017 18:00:33
34,PhD student,Plant Ecology and Evolution program,Curious,Reserach outside,A stable reserach position,Practical aspects,0,01/09/2017 21:39:05
35,Junior researcher (<5 years since PhD),Evolutionary Biology program,Curious,in Academia,An academic career,Lack of position,0,02/09/2017 00:24:57
36,PhD student,Animal Ecology program,Curious,in Academia,An academic career,Work-Life,0,02/09/2017 19:50:00
37,PhD student,Limnology program,Curious,Reserach outside,science and socitey,Work-Life,0,03/09/2017 13:07:26
38,Technician/administrator,Animal Ecology program,Fun,No idea.,Completly different,Changing career,0,03/09/2017 17:33:45
39,PhD student,Limnology program,Curious,No idea.,,Practical aspects,,03/09/2017 17:54:10
40,PhD student,Plant Ecology and Evolution program,,,,,,03/09/2017 20:21:44
41,Technician/administrator,Evolutionary Biology program,,,,,,04/09/2017 08:48:14
42,PhD student,Limnology program,Fun,No idea.,A stable reserach position,,0,04/09/2017 09:11:04
43,Senior researcher (>5 years since PhD),Evolutionary Biology program,Love,Here,A stable reserach position,,0,04/09/2017 09:19:05
44,PhD student,Animal Ecology program,Make world better,Here,science and socitey,Lack of position,0,04/09/2017 09:26:17
45,PhD student,Animal Ecology program,Curious,post doc,An academic career,Myself,0,04/09/2017 09:26:25
