sample	read_count	fraction
Barcode_289	0	0.0
Barcode_99	0	0.0
Barcode_282	0	0.0
Barcode_203	51	0.0051
Barcode_193	0	0.0
Barcode_356	0	0.0
Barcode_65	25	0.0025
Barcode_190	2	0.0002
Barcode_198	62	0.0062
Barcode_279	0	0.0
Barcode_338	22	0.0022
Barcode_389	39	0.0039
Barcode_84	0	0.0
Barcode_23	24	0.0024
Barcode_56	0	0.0
Barcode_373	28	0.0028
Barcode_269	0	0.0
Barcode_265	0	0.0
Barcode_26	31	0.0031
Barcode_208	111	0.0111
Barcode_185	65	0.0065
Barcode_107	91	0.0091
Barcode_376	35	0.0035
Barcode_200	81	0.0081
Barcode_138	59	0.0059
Barcode_180	54	0.0054
Barcode_353	0	0.0
Barcode_101	106	0.0106
Barcode_342	0	0.0
Barcode_351	0	0.0
Barcode_126	60	0.006
Barcode_300	31	0.0031
Barcode_327	28	0.0028
Barcode_385	23	0.0023
Barcode_246	0	0.0
Barcode_209	0	0.0
Barcode_106	66	0.0066
Barcode_149	1	0.0001
Barcode_169	0	0.0
Barcode_29	29	0.0029
Barcode_266	0	0.0
Barcode_38	22	0.0022
Barcode_231	1	0.0001
Barcode_197	65	0.0065
Barcode_205	97	0.0097
Barcode_369	25	0.0025
Barcode_204	66	0.0066
Barcode_386	24	0.0024
Barcode_81	0	0.0
Barcode_344	0	0.0
Barcode_22	31	0.0031
Barcode_186	70	0.007
Barcode_179	52	0.0052
Barcode_49	0	0.0
Barcode_271	0	0.0
Barcode_183	58	0.0058
Barcode_148	72	0.0072
Barcode_306	13	0.0013
Barcode_77	22	0.0022
Barcode_3	16	0.0016
Barcode_123	57	0.0057
Barcode_333	14	0.0014
Barcode_82	1	0.0001
Barcode_21	27	0.0027
Barcode_97	0	0.0
Barcode_375	41	0.0041
Barcode_50	0	0.0
Barcode_168	77	0.0077
Barcode_91	0	0.0
Barcode_357	0	0.0
Barcode_28	24	0.0024
Barcode_226	6	0.0006
Barcode_62	13	0.0013
Barcode_217	39	0.0039
Barcode_221	54	0.0054
Barcode_153	1	0.0001
Barcode_141	57	0.0057
Barcode_7	19	0.0019
Barcode_261	0	0.0
Barcode_39	21	0.0021
Barcode_156	0	0.0
Barcode_30	26	0.0026
Barcode_286	0	0.0
Barcode_335	17	0.0017
Barcode_143	67	0.0067
Barcode_173	0	0.0
Barcode_400	0	0.0
Barcode_316	14	0.0014
Barcode_395	0	0.0
Barcode_47	0	0.0
Barcode_70	0	0.0
Barcode_278	0	0.0
Barcode_222	11	0.0011
Barcode_324	21	0.0021
Barcode_10	18	0.0018
Barcode_240	0	0.0
Barcode_260	0	0.0
Barcode_13	40	0.004
Barcode_146	73	0.0073
Barcode_87	0	0.0
Barcode_1	24	0.0024
Barcode_367	17	0.0017
Barcode_144	46	0.0046
Barcode_187	56	0.0056
Barcode_58	0	0.0
Barcode_370	14	0.0014
Barcode_90	0	0.0
Barcode_313	15	0.0015
Barcode_218	52	0.0052
Barcode_248	0	0.0
Barcode_195	0	0.0
Barcode_67	0	0.0
Barcode_201	51	0.0051
Barcode_206	111	0.0111
Barcode_120	74	0.0074
Barcode_382	35	0.0035
Barcode_291	17	0.0017
Barcode_89	0	0.0
Barcode_160	53	0.0053
Barcode_188	48	0.0048
Barcode_349	26	0.0026
Barcode_245	0	0.0
Barcode_341	0	0.0
Barcode_213	0	0.0
Barcode_399	0	0.0
Barcode_336	20	0.002
Barcode_191	0	0.0
Barcode_80	10	0.001
Barcode_270	0	0.0
Barcode_20	35	0.0035
Barcode_285	0	0.0
Barcode_242	0	0.0
Barcode_177	59	0.0059
Barcode_15	21	0.0021
Barcode_318	13	0.0013
Barcode_319	13	0.0013
Barcode_220	48	0.0048
Barcode_51	0	0.0
Barcode_337	11	0.0011
Barcode_388	34	0.0034
Barcode_93	0	0.0
Barcode_241	0	0.0
Barcode_251	0	0.0
Barcode_378	11	0.0011
Barcode_76	13	0.0013
Barcode_321	16	0.0016
Barcode_288	0	0.0
Barcode_11	18	0.0018
Barcode_363	35	0.0035
Barcode_48	0	0.0
Barcode_210	0	0.0
Barcode_249	0	0.0
Barcode_60	0	0.0
Barcode_202	90	0.009
Barcode_230	4	0.0004
Barcode_86	0	0.0
Barcode_355	1	0.0001
Barcode_223	23	0.0023
Barcode_111	0	0.0
Barcode_296	20	0.002
Barcode_243	0	0.0
Barcode_43	27	0.0027
Barcode_295	17	0.0017
Barcode_377	30	0.003
Barcode_276	0	0.0
Barcode_391	33	0.0033
Barcode_359	0	0.0
Barcode_45	0	0.0
Barcode_110	0	0.0
Barcode_155	0	0.0
Barcode_36	21	0.0021
Barcode_345	0	0.0
Barcode_25	40	0.004
Barcode_211	2	0.0002
Barcode_63	11	0.0011
Barcode_364	36	0.0036
Barcode_121	52	0.0052
Barcode_102	97	0.0097
Barcode_16	29	0.0029
Barcode_224	17	0.0017
Barcode_2	12	0.0012
Barcode_348	16	0.0016
Barcode_125	86	0.0086
Barcode_157	50	0.005
Barcode_393	20	0.002
Barcode_9	19	0.0019
Barcode_340	21	0.0021
Barcode_347	20	0.002
Barcode_166	56	0.0056
Barcode_346	30	0.003
Barcode_137	59	0.0059
Barcode_237	0	0.0
Barcode_297	22	0.0022
Barcode_128	78	0.0078
Barcode_167	89	0.0089
Barcode_19	41	0.0041
Barcode_118	78	0.0078
Barcode_219	55	0.0055
Barcode_129	0	0.0
Barcode_330	25	0.0025
Barcode_41	31	0.0031
Barcode_387	19	0.0019
Barcode_109	0	0.0
Barcode_228	32	0.0032
Barcode_339	26	0.0026
Barcode_40	15	0.0015
Barcode_178	48	0.0048
Barcode_79	18	0.0018
Barcode_8	23	0.0023
Barcode_35	24	0.0024
Barcode_124	46	0.0046
Barcode_250	0	0.0
Barcode_264	0	0.0
Barcode_225	0	0.0
Barcode_302	13	0.0013
Barcode_235	0	0.0
Barcode_362	30	0.003
Barcode_384	30	0.003
Barcode_161	84	0.0084
Barcode_46	0	0.0
Barcode_379	7	0.0007
Barcode_181	51	0.0051
Barcode_290	0	0.0
Barcode_343	0	0.0
Barcode_131	1	0.0001
Barcode_309	25	0.0025
Barcode_140	52	0.0052
Barcode_215	0	0.0
Barcode_150	0	0.0
Barcode_139	83	0.0083
Barcode_317	12	0.0012
Barcode_59	0	0.0
Barcode_263	0	0.0
Barcode_287	0	0.0
Barcode_299	23	0.0023
Barcode_315	14	0.0014
Barcode_6	18	0.0018
Barcode_284	0	0.0
Barcode_331	20	0.002
Barcode_115	0	0.0
Barcode_68	1	0.0001
Barcode_322	32	0.0032
Barcode_73	22	0.0022
Barcode_189	1	0.0001
Barcode_37	24	0.0024
Barcode_147	43	0.0043
Barcode_268	0	0.0
Barcode_103	51	0.0051
Barcode_323	18	0.0018
Barcode_381	26	0.0026
Barcode_4	23	0.0023
Barcode_78	12	0.0012
Barcode_55	0	0.0
Barcode_396	0	0.0
Barcode_75	25	0.0025
Barcode_216	0	0.0
Barcode_329	20	0.002
Barcode_397	0	0.0
Barcode_247	0	0.0
Barcode_42	28	0.0028
Barcode_33	24	0.0024
Barcode_18	44	0.0044
Barcode_105	84	0.0084
Barcode_308	24	0.0024
Barcode_301	16	0.0016
Barcode_310	11	0.0011
Barcode_236	0	0.0
Barcode_171	0	0.0
Barcode_142	48	0.0048
Barcode_182	69	0.0069
Barcode_328	24	0.0024
Barcode_277	0	0.0
Barcode_371	20	0.002
Barcode_116	0	0.0
Barcode_113	0	0.0
Barcode_390	26	0.0026
Barcode_83	0	0.0
Barcode_175	0	0.0
Barcode_136	0	0.0
Barcode_366	25	0.0025
Barcode_117	96	0.0096
Barcode_305	13	0.0013
Barcode_69	0	0.0
Barcode_108	46	0.0046
Barcode_184	55	0.0055
Barcode_326	20	0.002
Barcode_227	43	0.0043
Barcode_64	27	0.0027
Barcode_298	25	0.0025
Barcode_199	52	0.0052
Barcode_17	33	0.0033
Barcode_229	1	0.0001
Barcode_159	48	0.0048
Barcode_365	25	0.0025
Barcode_398	0	0.0
Barcode_196	0	0.0
Barcode_164	52	0.0052
Barcode_239	0	0.0
Barcode_5	20	0.002
Barcode_256	0	0.0
Barcode_53	0	0.0
Barcode_135	0	0.0
Barcode_104	124	0.0124
Barcode_361	14	0.0014
Barcode_257	0	0.0
Barcode_88	0	0.0
Barcode_233	2	0.0002
Barcode_133	0	0.0
Barcode_311	20	0.002
Barcode_61	17	0.0017
Barcode_283	0	0.0
Barcode_360	0	0.0
Barcode_244	0	0.0
Barcode_176	1	0.0001
Barcode_350	28	0.0028
Barcode_145	35	0.0035
Barcode_130	0	0.0
Barcode_27	45	0.0045
Barcode_320	13	0.0013
Barcode_303	21	0.0021
Barcode_44	28	0.0028
Barcode_119	71	0.0071
Barcode_24	25	0.0025
Barcode_255	0	0.0
Barcode_100	0	0.0
Barcode_293	28	0.0028
Barcode_151	0	0.0
Barcode_207	97	0.0097
Barcode_96	0	0.0
Barcode_325	14	0.0014
Barcode_273	0	0.0
Barcode_307	12	0.0012
Barcode_122	87	0.0087
Barcode_98	0	0.0
Barcode_253	0	0.0
Barcode_158	48	0.0048
Barcode_358	0	0.0
Barcode_281	0	0.0
Barcode_238	0	0.0
Barcode_262	0	0.0
Barcode_31	25	0.0025
Barcode_259	0	0.0
Barcode_267	0	0.0
Barcode_163	52	0.0052
Barcode_71	26	0.0026
Barcode_127	73	0.0073
Barcode_85	0	0.0
Barcode_165	57	0.0057
Barcode_380	19	0.0019
Barcode_304	18	0.0018
Barcode_275	0	0.0
Barcode_57	0	0.0
Barcode_66	0	0.0
Barcode_280	1	0.0001
Barcode_368	23	0.0023
Barcode_258	0	0.0
Barcode_383	15	0.0015
Barcode_170	0	0.0
Barcode_162	84	0.0084
Barcode_95	0	0.0
not_found	2016	0.2016
